Feature,Coefficient,state,,,,,,,,,,
county_code_53009,-0.061820703,WA,,,,,,,,,,
county_code_53011,0.115256033,WA,,,,,,,,,,
county_code_53013,1.56E-05,WA,,,,,,,,,,
county_code_53015,0.079796567,WA,,,,,,,,,,
county_code_53017,-0.048028423,WA,,,,,,,,,,
county_code_53019,-0.011165437,WA,,,,,,,,,,
county_code_53021,0.203709666,WA,,,,,,,,,,
county_code_53023,-0.001880238,WA,,,,,,,,,,
county_code_53025,0.041463731,WA,,,,,,,,,,
county_code_53027,-0.052413282,WA,,,,,,,,,,
county_code_53029,0.087362525,WA,,,,,,,,,,
county_code_53031,-0.000415686,WA,,,,,,,,,,
county_code_53033,4.98E-06,NY,,,,,,,,,,
county_code_53033,-0.487936726,WA,,,,,,,,,,
county_code_53035,0.020506115,WA,,,,,,,,,,
county_code_53037,-0.061901826,WA,,,,,,,,,,
county_code_53039,-0.005327994,WA,,,,,,,,,,
county_code_53041,0.018617063,WA,,,,,,,,,,
county_code_53043,-0.006404514,WA,,,,,,,,,,
county_code_53045,0.108961229,WA,,,,,,,,,,
county_code_53047,-0.030457157,WA,,,,,,,,,,
county_code_53049,0.040584242,WA,,,,,,,,,,
county_code_53051,-0.010981531,WA,,,,,,,,,,
county_code_53053,0.057241813,WA,,,,,,,,,,
county_code_53055,-0.017950883,WA,,,,,,,,,,
county_code_53057,-0.021994273,WA,,,,,,,,,,
county_code_53059,-0.021057044,WA,,,,,,,,,,
county_code_53061,0.032013925,WA,,,,,,,,,,
county_code_53063,-0.444312541,WA,,,,,,,,,,
county_code_53065,-0.052462088,WA,,,,,,,,,,
county_code_53067,0.210106273,WA,,,,,,,,,,
county_code_53069,-0.006287576,WA,,,,,,,,,,
county_code_53071,-0.046154589,WA,,,,,,,,,,
county_code_53073,0.230559041,WA,,,,,,,,,,
county_code_53075,-0.027711503,WA,,,,,,,,,,
county_code_53077,0.151533887,WA,,,,,,,,,,
derived_sex_Female,-0.089442286,NY,,,,,,,,,,
derived_sex_Female,-0.107222028,WA,,,,,,,,,,
derived_sex_Female,-0.098896542,TX,,,,,,,,,,
derived_sex_Male,0,NY,,,,,,,,,,
derived_sex_Male,0,WA,,,,,,,,,,
derived_sex_Male,0,TX,,,,,,,,,,
derived_sex_Other,0.330709792,NY,,,,,,,,,,
derived_sex_Other,0.06854182,WA,,,,,,,,,,
derived_sex_Other,-0.076078287,TX,,,,,,,,,,
derived_sex_Prefer not to say,0.289559273,NY,,,,,,,,,,
derived_sex_Prefer not to say,0.485594951,WA,,,,,,,,,,
derived_sex_Prefer not to say,0.31652484,TX,,,,,,,,,,
income_log,0.134697148,NY,,,,,,,,,,
income_log,0.604566848,WA,,,,,,,,,,
income_log,0.282313105,TX,,,,,,,,,,
Intercept,-0.045619126,NY,,,,,,,,,,
Intercept,0.059703004,WA,,,,,,,,,,
Intercept,-0.074320142,TX,,,,,,,,,,
interest_rate,13.37278005,NY,,,,,,,,,,
interest_rate,5.782391371,WA,,,,,,,,,,
interest_rate,12.62677634,TX,,,,,,,,,,
loan_amount_log,-1.47191165,NY,,,,,,,,,,
loan_amount_log,-1.907447917,WA,,,,,,,,,,
loan_amount_log,-2.024913778,TX,,,,,,,,,,
loan_term,-0.001334138,NY,,,,,,,,,,
loan_term,0.005951373,WA,,,,,,,,,,
loan_term,0.000499842,TX,,,,,,,,,,
occupancy_type_Investment,-0.07828247,NY,,,,,,,,,,
occupancy_type_Investment,-0.397861913,WA,,,,,,,,,,
occupancy_type_Investment,-0.045531528,TX,,,,,,,,,,
occupancy_type_Principal Residence,0,NY,,,,,,,,,,
occupancy_type_Principal Residence,0,WA,,,,,,,,,,
occupancy_type_Principal Residence,0,TX,,,,,,,,,,
occupancy_type_Second Residence,-0.388517663,NY,,,,,,,,,,
occupancy_type_Second Residence,-0.292411724,WA,,,,,,,,,,
occupancy_type_Second Residence,-0.067698294,TX,,,,,,,,,,
property_value_log,1.174489098,NY,,,,,,,,,,
property_value_log,1.233380851,WA,,,,,,,,,,
property_value_log,1.567710201,TX,,,,,,,,,,
race_ethnicity_African American,0.322216015,NY,,,,,,,,,,
race_ethnicity_African American,-0.24495483,WA,,,,,,,,,,
race_ethnicity_African American,-0.180821859,TX,,,,,,,,,,
race_ethnicity_Asian,0.407103312,NY,,,,,,,,,,
race_ethnicity_Asian,-0.376277841,WA,,,,,,,,,,
race_ethnicity_Asian,-0.130369084,TX,,,,,,,,,,
race_ethnicity_Hispanic or Latino,-0.043658851,NY,,,,,,,,,,
race_ethnicity_Hispanic or Latino,-0.162284889,WA,,,,,,,,,,
race_ethnicity_Hispanic or Latino,-0.174869284,TX,,,,,,,,,,
race_ethnicity_Joint,-0.090519973,NY,,,,,,,,,,
race_ethnicity_Joint,-0.050097259,WA,,,,,,,,,,
race_ethnicity_Joint,-0.052826058,TX,,,,,,,,,,
race_ethnicity_Missing,0.265134153,NY,,,,,,,,,,
race_ethnicity_Missing,0.526891423,WA,,,,,,,,,,
race_ethnicity_Missing,0.324438301,TX,,,,,,,,,,
race_ethnicity_Native American,-0.049027938,NY,,,,,,,,,,
race_ethnicity_Native American,-0.005498245,WA,,,,,,,,,,
race_ethnicity_Native American,-0.011626201,TX,,,,,,,,,,
race_ethnicity_Other,-0.184855966,NY,,,,,,,,,,
race_ethnicity_Other,0.068101798,WA,,,,,,,,,,
race_ethnicity_Other,-0.041855055,TX,,,,,,,,,,
race_ethnicity_Pacific Islander,-0.015476637,NY,,,,,,,,,,
race_ethnicity_Pacific Islander,-0.017511623,WA,,,,,,,,,,
race_ethnicity_Pacific Islander,-0.000946244,TX,,,,,,,,,,
race_ethnicity_White,0,NY,,,,,,,,,,
race_ethnicity_White,0,WA,,,,,,,,,,
race_ethnicity_White,0,TX,,,,,,,,,,
