,Feature,Coefficient,Abs_Coefficient
251,county_code_48259,0.001044835,0.001044835
438,county_code_48261,-7.76E-05,7.756459291562958e-05
406,county_code_48263,-0.000136847,0.000136847
341,county_code_48265,-0.000418724,0.000418724
371,county_code_48267,-0.000286096,0.000286096
408,county_code_48269,-0.000134542,0.000134542
474,county_code_48271,1.3965048193650943e-05,1.3965048193650943e-05
401,county_code_48273,0.000149631,0.000149631
448,county_code_48275,5.37577656838525e-05,5.37577656838525e-05
328,county_code_48277,-0.000527229,0.000527229
267,county_code_48279,-0.000882958,0.000882958
417,county_code_48281,-0.000118156,0.000118156
294,county_code_48283,-0.000699273,0.000699273
306,county_code_48285,-0.000633217,0.000633217
200,county_code_48287,-0.001877462,0.001877462
180,county_code_48289,-0.002324794,0.002324794
29,county_code_48291,-0.039929911,0.039929911
177,county_code_48293,-0.002455297,0.002455297
495,county_code_48295,8.300894094492786e-06,8.300894094492786e-06
286,county_code_48297,-0.000759624,0.000759624
308,county_code_48299,-0.000626741,0.000626741
461,county_code_48301,-3.23E-05,3.2292201602804846e-05
59,county_code_48303,0.013915759712742755,0.013915759712742755
334,county_code_48305,-0.000497375,0.000497375
386,county_code_48307,-0.000225917,0.000225917
75,county_code_48309,0.009823807,0.009823807
431,county_code_48311,-9.04E-05,9.037416365370743e-05
197,county_code_48313,-0.00191683,0.00191683
243,county_code_48315,-0.001157253,0.001157253
237,county_code_48317,-0.00126851,0.00126851
413,county_code_48319,-0.000125879,0.000125879
223,county_code_48321,-0.001438849,0.001438849
299,county_code_48323,-0.000670404,0.000670404
88,county_code_48325,-0.007468942,0.007468942
379,county_code_48327,-0.000255184,0.000255184
55,county_code_48329,-0.015115304,0.015115303997376825
221,county_code_48331,-0.001503535,0.001503535
376,county_code_48333,-0.00027647,0.00027647
304,county_code_48335,-0.000633782,0.000633782
324,county_code_48337,-0.00056453,0.00056453
45,county_code_48339,-0.019008674,0.019008673708479248
322,county_code_48341,-0.000572562,0.000572562
385,county_code_48343,-0.000230419,0.000230419
440,county_code_48345,-6.97E-05,6.968136089049404e-05
123,county_code_48347,-0.004161988,0.004161988
94,county_code_48349,-0.006871308,0.006871308
145,county_code_48351,-0.003528198,0.003528198
297,county_code_48353,-0.000682136,0.000682136
174,county_code_48355,-0.002538111,0.002538111
339,county_code_48357,0.000437667,0.000437667
434,county_code_48359,-8.83E-05,8.825578674473106e-05
105,county_code_48361,-0.005574938,0.005574938
231,county_code_48363,-0.001313742,0.001313742
139,county_code_48365,-0.003606756,0.003606756
236,county_code_48367,-0.001271419,0.001271419
392,county_code_48369,0.000186268,0.000186268
196,county_code_48371,-0.00192285,0.00192285
86,county_code_48373,-0.007774893,0.007774893
241,county_code_48375,-0.001193578,0.001193578
357,county_code_48377,-0.000344504,0.000344504
254,county_code_48379,-0.001003132,0.001003132
81,county_code_48381,0.008550939,0.008550939
338,county_code_48383,-0.000449076,0.000449076
351,county_code_48385,-0.000369065,0.000369065
301,county_code_48387,-0.000648198,0.000648198
184,county_code_48389,-0.002177597,0.002177597
295,county_code_48391,-0.000693937,0.000693937
470,county_code_48393,-1.71E-05,1.7087012892442282e-05
164,county_code_48395,-0.002832289,0.002832289
143,county_code_48397,0.003533313,0.003533313
395,county_code_48399,-0.000174666,0.000174666
154,county_code_48401,-0.003035239,0.003035239
193,county_code_48403,-0.001970221,0.001970221
238,county_code_48405,-0.001232982,0.001232982
97,county_code_48407,-0.006674221,0.006674221
187,county_code_48409,-0.002112679,0.002112679
407,county_code_48411,-0.00013623,0.00013623
447,county_code_48413,-5.46E-05,5.458192977860179e-05
319,county_code_48415,-0.000579888,0.000579888
384,county_code_48417,0.00023799,0.00023799
149,county_code_48419,-0.003227547,0.003227547
496,county_code_48421,7.739784832361228e-06,7.739784832361228e-06
74,county_code_48423,-0.009863657,0.009863657
421,county_code_48425,-0.000112089,0.000112089
228,county_code_48427,-0.001389835,0.001389835
418,county_code_48429,0.000118129,0.000118129
391,county_code_48431,-0.000199579,0.000199579
463,county_code_48433,-2.61E-05,2.6093952668466093e-05
425,county_code_48435,0.000106452,0.000106452
439,county_code_48437,7.496892099309801e-05,7.496892099309801e-05
27,county_code_48439,0.041027192,0.041027192
108,county_code_48441,0.005269174,0.005269174
499,county_code_48443,-5.68E-06,5.677452112340273e-06
253,county_code_48445,-0.001006171,0.001006171
422,county_code_48447,-0.00011165,0.00011165
331,county_code_48449,0.000502266,0.000502266
152,county_code_48451,0.003052338,0.003052338
127,county_code_48453,0.004026971,0.004026971
170,county_code_48455,-0.002646851,0.002646851
116,county_code_48457,-0.004549729,0.004549729
151,county_code_48459,-0.003177513,0.003177513
262,county_code_48461,-0.000902672,0.000902672
287,county_code_48463,-0.000747153,0.000747153
321,county_code_48465,0.000572901,0.000572901
92,county_code_48467,-0.006990756,0.006990756
142,county_code_48469,-0.003567042,0.003567042
107,county_code_48471,-0.005339436,0.005339436
104,county_code_48473,-0.005975759,0.005975759
182,county_code_48475,-0.002247949,0.002247949
175,county_code_48477,-0.002506432,0.002506432
229,county_code_48479,0.001371999,0.001371999
169,county_code_48481,-0.002663149,0.002663149
366,county_code_48483,-0.00030245,0.00030245
68,county_code_48485,0.010522636431935246,0.010522636431935246
326,county_code_48487,0.000552386,0.000552386
277,county_code_48489,-0.000811572,0.000811572
37,county_code_48491,0.027277212519822437,0.027277212519822437
129,county_code_48493,-0.003896051,0.003896051
239,county_code_48495,-0.001217136,0.001217136
109,county_code_48497,-0.005199343,0.005199343
234,county_code_48499,-0.001302063,0.001302063
266,county_code_48501,-0.000887043,0.000887043
363,county_code_48503,-0.000322566,0.000322566
330,county_code_48505,-0.000510445,0.000510445
256,county_code_48507,-0.000976217,0.000976217
511,county_code_51760,1.7190181536640061e-06,1.7190181536640061e-06
398,county_code_53001,0.000162489,0.000162489
273,county_code_53003,0.000831813,0.000831813
83,county_code_53005,0.008131241,0.008131241
381,county_code_53007,0.000241647,0.000241647
194,county_code_53009,0.001934822,0.001934822
49,county_code_53011,0.016707591995841896,0.016707591995841896
454,county_code_53013,4.028250889852438e-05,4.028250889852438e-05
115,county_code_53015,0.004657983,0.004657983
317,county_code_53017,0.000588806,0.000588806
441,county_code_53019,-6.89E-05,6.894287800949655e-05
120,county_code_53021,0.004276191,0.004276191
452,county_code_53023,4.604655328553489e-05,4.604655328553489e-05
198,county_code_53025,0.001915944,0.001915944
212,county_code_53027,0.001575216,0.001575216
130,county_code_53029,0.003841259,0.003841259
345,county_code_53031,0.000382958,0.000382958
26,county_code_53033,0.044575124,0.044575124
78,county_code_53035,0.009059105,0.009059105
280,county_code_53037,0.000799953,0.000799953
414,county_code_53039,-0.000125345,0.000125345
226,county_code_53041,0.001420068,0.001420068
473,county_code_53043,-1.41E-05,1.4073955281561175e-05
217,county_code_53045,0.001528598,0.001528598
389,county_code_53047,-0.000211841,0.000211841
420,county_code_53049,0.000112437,0.000112437
502,county_code_53051,-5.36E-06,5.361687613283939e-06
39,county_code_53053,0.025089783835161972,0.025089783835161972
300,county_code_53055,-0.000653573,0.000653573
162,county_code_53057,0.002864529,0.002864529
403,county_code_53059,0.00014009,0.00014009
38,county_code_53061,0.025548738916607028,0.025548738916607028
47,county_code_53063,0.017112564301435672,0.017112564301435672
365,county_code_53065,-0.000311728,0.000311728
67,county_code_53067,0.010555101,0.010555101
409,county_code_53069,-0.000134265,0.000134265
242,county_code_53071,0.001168848,0.001168848
119,county_code_53073,0.004299161,0.004299161
292,county_code_53075,0.000716336,0.000716336
370,county_code_53077,-0.000287195,0.000287195
566,county_code_55027,0,0
529,county_code_55051,9.929630198388301e-07,9.929630198388301e-07
544,county_code_60290,7.30581563258901e-07,7.30581563258901e-07
551,county_code_60372,3.62961233402624e-07,3.62961233402624e-07
550,county_code_60375,3.770555245875347e-07,3.770555245875347e-07
554,county_code_60590,3.1894752192958127e-07,3.1894752192958127e-07
552,county_code_60650,3.6147400740853923e-07,3.6147400740853923e-07
549,county_code_60710,3.773752015994983e-07,3.773752015994983e-07
555,county_code_60855,3.025312194702046e-07,3.025312194702046e-07
6,county_code_NA,-0.254091938,0.25409193816613496
498,debt_to_income,-6.25E-06,6.249075881621359e-06
18,derived_sex_Female,0.10104334330104744,0.10104334330104744
17,derived_sex_Male,-0.116667444,0.11666744387078797
22,derived_sex_Other,0.055463415,0.055463415
2,income_log,0.3909698808763795,0.3909698808763795
0,Intercept,-0.162341913,0.16234191290164474
7,interest_rate,0.21985566029014614,0.21985566029014614
528,loan_amount,-1.02E-06,1.020183326579881e-06
355,loan_term,0.00034642,0.00034642
57,loan_to_value,-0.014463682,0.014463681684016993
13,occupancy_type_Principal Residence,-0.148351326,0.14835132618836283
50,occupancy_type_Second Residence,-0.016630471,0.016630471229892682
546,property_value,6.701846687305039e-07,6.701846687305039e-07
