county_code,activity_year,census_tract,tract_population,tract_minority_population_percent,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
48029,2020,48029190200,4259,0.5196,1.27,862,1725,76
48029,2020,48029191809,7042,0.499,1.97,1867,2093,10
48029,2020,48029161902,9979,0.7588,0.87,1874,2348,17
48029,2020,48029181718,5839,0.5499,1.37,1772,1993,27
48029,2020,48029190901,6210,0.7316,0.68,793,1170,49
48029,2020,48029191503,5084,0.4394,1.42,1523,1780,24
48029,2020,48029171903,7593,0.8383,0.7,1177,1907,40
48029,2020,48029172007,10590,0.5975,1.51,2586,3268,11
48029,2020,48029121121,3156,0.4008,1.91,1063,1115,22
48029,2020,48029161302,5954,0.9394,0.59,949,1428,28
48029,2020,48029121111,6653,0.5647,1.05,1766,2354,35
48029,2020,48029160600,5125,0.9877,0.35,832,1493,55
48029,2020,48029151100,7088,0.9479,0.66,1183,1995,52
48029,2020,48029181820,6415,0.6547,1.04,266,527,11
48029,2020,48029121906,5661,0.4241,1.58,1401,1635,18
48029,2020,48029191808,3989,0.3066,2.41,1041,1143,10
48029,2020,48029131505,4178,0.8313,1.0,824,1197,12
48029,2020,48029140800,5632,0.9183,0.69,1049,1848,60
48029,2020,48029171802,6453,0.8835,0.51,608,1419,46
48029,2020,48029121909,5933,0.6361,1.41,1189,1446,9
48029,2020,48029121112,3916,0.5059,0.85,800,1275,31
48029,2020,48029191816,3007,0.4223,1.95,596,761,15
48029,2020,48029121122,5436,0.4312,1.34,1730,2029,31
48029,2020,48029121501,8762,0.6026,1.49,2118,2726,25
48029,2020,48029130600,4376,0.9639,0.41,608,1569,66
48029,2020,48029130500,4920,0.95,0.35,635,1500,60
48029,2020,48029141000,3719,0.9468,0.52,462,863,55
48029,2020,48029131504,3583,0.748,0.84,1019,1456,37
48029,2020,48029120502,5401,0.7786,0.61,931,1758,53
48029,2020,48029180902,7419,0.8617,0.72,1770,2583,59
48029,2020,48029191504,2464,0.3628,3.41,864,936,21
48029,2020,48029171919,4194,0.8653,0.89,1007,1199,11
48029,2020,48029181001,4285,0.7242,0.97,757,872,44
48029,2020,48029181813,6872,0.736,0.76,617,956,18
48029,2020,48029171501,2641,0.9508,0.5,468,791,53
48029,2020,48029191101,1665,0.3718,1.84,609,767,54
48029,2020,48029181602,6318,0.8819,0.63,1004,1385,39
48029,2020,48029170402,4455,0.9895,0.44,781,1618,63
48029,2020,48029131300,5401,0.8341,0.6,1655,2097,49
48029,2020,48029180503,4640,0.9259,0.72,987,1403,40
48029,2020,48029170800,1382,0.9711,0.34,224,450,49
48029,2020,48029980100,520,0.4962,0.48,0,96,58
48029,2020,48029160902,4873,0.9854,0.59,798,1374,58
48029,2020,48029110300,2756,0.8864,0.65,368,863,50
48029,2020,48029151200,9922,0.9515,0.74,1615,2239,33
48029,2020,48029130300,3595,0.9627,0.58,396,1178,67
48029,2020,48029191812,4856,0.423,2.98,1159,1233,0
48029,2020,48029141700,5236,0.7082,1.12,1278,1718,18
48029,2020,48029190902,3916,0.677,1.0,1051,1531,57
48029,2020,48029160701,3387,0.9684,0.46,766,1081,49
48029,2020,48029171302,4724,0.8622,0.7,765,1225,56
48029,2020,48029121402,6150,0.8633,0.82,1272,1903,13
48029,2020,48029121606,5085,0.4596,1.02,1081,1400,35
48029,2020,48029131610,5282,0.8076,1.08,1035,1640,17
48029,2020,48029191304,2449,0.6631,0.81,302,596,42
48029,2020,48029121702,7200,0.4683,1.29,1685,2311,23
48029,2020,48029181723,5181,0.7323,1.28,1176,1539,25
48029,2020,48029121118,6206,0.4702,1.15,1310,1375,27
48029,2020,48029131601,3332,0.4736,1.4,671,1114,15
48029,2020,48029130401,4072,0.9516,0.54,691,1405,65
48029,2020,48029191807,4469,0.4988,2.04,1271,1728,13
48029,2020,48029152000,2513,0.9013,0.63,213,461,12
48029,2020,48029190603,2954,0.8602,0.68,682,1044,66
48029,2020,48029131401,8299,0.79,1.11,1767,2453,19
48029,2020,48029171914,5652,0.7797,0.95,1427,1770,29
48029,2020,48029181725,5404,0.8403,0.63,530,1035,27
48029,2020,48029160200,2526,0.9671,0.61,610,1006,67
48029,2020,48029181815,3951,0.5292,1.44,776,1040,27
48029,2020,48029181729,5554,0.6637,1.36,1445,1652,9
48029,2020,48029191900,5224,0.9085,0.47,848,1747,70
48029,2020,48029161200,3151,0.8588,0.58,521,828,20
48029,2020,48029180501,4918,0.8951,0.63,820,1312,38
48029,2020,48029181727,3665,0.7768,1.02,742,1069,23
48029,2020,48029140900,2024,0.8607,0.53,451,742,64
48029,2020,48029150502,4455,0.9924,0.51,767,1164,53
48029,2020,48029161303,5021,0.9478,0.61,698,1180,41
48029,2020,48029152202,4752,0.823,0.86,983,1368,19
48029,2020,48029160300,5554,0.9516,0.58,1074,1871,67
48029,2020,48029172003,6027,0.7073,1.31,1285,1790,17
48029,2020,48029181711,8416,0.6963,1.36,2301,2723,19
48029,2020,48029181901,4157,0.6399,1.61,245,427,18
48029,2020,48029181726,10231,0.6638,1.29,2421,3007,10
48029,2020,48029120901,2150,0.3935,0.92,352,461,39
48029,2020,48029191813,6711,0.449,1.76,1803,2025,15
48029,2020,48029161100,9998,0.978,0.66,2098,2584,39
48029,2020,48029190504,2915,0.835,0.86,599,1027,76
48029,2020,48029182001,5540,0.4939,1.74,1383,1562,0
48029,2020,48029152201,7666,0.8339,0.72,1699,2388,22
48029,2020,48029182002,9504,0.4529,2.02,2618,2882,12
